Statistical profiling result from isolate-nodebug-v8.log, (17642 ticks, 30 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:30:40
      2    0.0%    0.0%  Function: ^validateEncoding node:internal/validators:199:26
      2    0.0%    0.0%  Function: ^unenroll node:timers:78:18
      2    0.0%    0.0%  Function: ^template /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      2    0.0%    0.0%  Function: ^step /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:23:22
      2    0.0%    0.0%  Function: ^setHeader node:_http_outgoing:574:57
      2    0.0%    0.0%  Function: ^session /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-session/index.js:179:26
      2    0.0%    0.0%  Function: ^send /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/response.js:107:25
      2    0.0%    0.0%  Function: ^readPackage node:internal/modules/cjs/loader:290:21
      2    0.0%    0.0%  Function: ^prepareProgram /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:185:24
      2    0.0%    0.0%  Function: ^popAsyncContext node:internal/async_hooks:554:25
      2    0.0%    0.0%  Function: ^parse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/minimatch/minimatch.js:296:16
      2    0.0%    0.0%  Function: ^onParseComplete node:internal/url:532:25
      2    0.0%    0.0%  Function: ^multiplication32 /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/faker/vendor/mersenne.js:88:29
      2    0.0%    0.0%  Function: ^makeRequireFunction node:internal/modules/cjs/helpers:58:29
      2    0.0%    0.0%  Function: ^hash /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-session/index.js:596:14
      2    0.0%    0.0%  Function: ^getInfo file:///home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/components/info/services/infoService.js:7:18
      2    0.0%    0.0%  Function: ^getHeader node:_http_outgoing:590:57
      2    0.0%    0.0%  Function: ^get node:internal/bootstrap/pre_execution:307:8
      2    0.0%    0.0%  Function: ^f /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/once/once.js:22:20
      2    0.0%    0.0%  Function: ^cpus node:os:133:14
      2    0.0%    0.0%  Function: ^compileFunction node:vm:308:25
      2    0.0%    0.0%  Function: ^classifySexpr /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:363:40
      2    0.0%    0.0%  Function: ^assertEncoding node:internal/fs/utils:151:24
      2    0.0%    0.0%  Function: ^append /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:394:26
      2    0.0%    0.0%  Function: ^ReadableState node:internal/streams/readable:78:23
      2    0.0%    0.0%  Function: ^Readable.push /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/readable-stream/lib/_stream_readable.js:222:36
      2    0.0%    0.0%  Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2    0.0%    0.0%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      2    0.0%    0.0%  Function: ^Module._extensions..js node:internal/modules/cjs/loader:1112:37
      2    0.0%    0.0%  Function: ^<anonymous> node:internal/util:346:24
      2    0.0%    0.0%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/helpers/each.js:15:44
      2    0.0%    0.0%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:366:57
      2    0.0%    0.0%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:167:47
      2    0.0%    0.0%  Function: *wasm-function[15]
      1    0.0%    0.0%  RegExp: ^debug_
      1    0.0%    0.0%  RegExp: ^\{\{~?!-?-?
      1    0.0%    0.0%  RegExp: ^\s*?\r?\n
      1    0.0%    0.0%  RegExp: ^\s*([^;\s]*)(?:;|\s|$)
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+\-.^_`|~0-9A-Za-z]+$
      1    0.0%    0.0%  RegExp: ^(?:undefined(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:false(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:as\s+\|)
      1    0.0%    0.0%  RegExp: ^(?:\}\}\}\})
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\{)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\s*else\s*(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\*?)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?#\*?)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\.\.)
      1    0.0%    0.0%  RegExp: ^(?:\.(?=([=~}\s\/.)|])))
      1    0.0%    0.0%  RegExp: ^(?:\))
      1    0.0%    0.0%  RegExp: ^(?:\()
      1    0.0%    0.0%  RegExp: \r?\n?
      1    0.0%    0.0%  RegExp: [\u0000-\u001f\u0022\u005c\ud800-\udfff]|[\ud800-\udbff](?![\udc00-\udfff])|(?:[^\ud800-\udbff]|^)[\udc00-\udfff]
      1    0.0%    0.0%  RegExp: -?-?~?\}\}$
      1    0.0%    0.0%  RegExp: (?:\r\n?|\n)
      1    0.0%    0.0%  LazyCompile: *yy.locInfo /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:42:25
      1    0.0%    0.0%  LazyCompile: *trim_prefix /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:288:23
      1    0.0%    0.0%  LazyCompile: *template /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      1    0.0%    0.0%  LazyCompile: *setHeader node:_http_outgoing:574:57
      1    0.0%    0.0%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      1    0.0%    0.0%  LazyCompile: *readFileSync node:fs:450:22
      1    0.0%    0.0%  LazyCompile: *readFileAfterOpen node:fs:310:27
      1    0.0%    0.0%  LazyCompile: *readFile /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/graceful-fs/graceful-fs.js:111:21
      1    0.0%    0.0%  LazyCompile: *pushStackLiteral /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:877:46
      1    0.0%    0.0%  LazyCompile: *preparePath /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      1    0.0%    0.0%  LazyCompile: *makeres /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/inflight/inflight.js:17:18
      1    0.0%    0.0%  LazyCompile: *hb.compile /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars.js:38:25
      1    0.0%    0.0%  LazyCompile: *get node:internal/streams/duplex:94:8
      1    0.0%    0.0%  LazyCompile: *extname node:path:1385:10
      1    0.0%    0.0%  LazyCompile: *execIteration /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/helpers/each.js:39:27
      1    0.0%    0.0%  LazyCompile: *each /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:91:22
      1    0.0%    0.0%  LazyCompile: *cpus node:os:133:14
      1    0.0%    0.0%  LazyCompile: *compile /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:490:17
      1    0.0%    0.0%  LazyCompile: *adopt /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:19:19
      1    0.0%    0.0%  LazyCompile: *SourceNode_prepend /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:197:59
      1    0.0%    0.0%  LazyCompile: *SourceNode /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:35:20
